date,boss_desc,rubrikabrax,meryde
2022-01-01,"Mazic est le Méryde de la naissance. Pourvu d’un fort instinct paternel (les autres Mérydes l’appelleraient Mère Pioulette...), il aide les Boufettes, Tofounes et autres créatures femelles à enfanter, sans douleur s'il vous plaît ! C’est aussi grâce à lui si certains de vos projets prennent forme.",Le Comte Harebourg est un Xélor de l’Âge des Dofus. Il est le créateur d’une gamme de montres très élaborées. Mais son invention la plus remarquable reste sa fameuse Clepsydre capable d’altérer le temps qui passe... mais aussi le temps qu’il fait !,"Aujourd’hui, il va y avoir du neuf ! Nouvelle année, nouvelles résolutions, nouveau-nés… nouveaux monstres prêts à vous harceler ! C’est le moment idéal pour faire germer de nouveaux projets ! Et si vous ne savez pas dans quoi vous lancer, laissez simplement votre instinct vous aiguiller. "
2022-01-02,"Arouz est le Méryde de la famine. Son petit faible pour les céréales le pousse à ravager les terres des paysans du monde entier. Et peu importe si au passage il vous prive de nourriture, ça n’est pas son problème ! Eh oui, parfois, la faim justifie les moyens...","Percimol a beau être une créature composée de liquide, ça ne le dispense pas de devoir se nourrir ! Le souci, c’est que lui et son peuple habitent à proximité d’une troupe de Taures affamés qui ne cessent de leur voler leurs denrées... Ah ! Si seulement on pouvait vivre d’amour et d’eau fraiche !","Aujourd’hui, vous allez rester sur votre faim ! Le moindre petit grain de céréale sera une denrée rare, c’est dire ! Alors, si vous ne voulez pas passer votre journée à vous nourrir de pain sec et à boire de l’eau croupie, vous avez plutôt intérêt à économiser vos provisions de blé !"
2022-01-03,"Orage est la Méryde des tempêtes. Son caractère tumultueux met tout sens dessus dessous ! Et même si elle décharge sa colère n’importe où, elle préfère largement se lâcher dans les océans. Pourquoi ? Parce que voir les marins avoir le torse trempé, ça fait chavirer son cœur...","Après avoir essuyé une tempête en plein milieu de l’océan, les héros de la Confrérie du Tofu se sont échoués sur l’île de Moon. Et sur cette terre de rêve, ils ont bien failli servir de repas au peuple Kanniboul. De quoi les mettre d’humeur… houleuse !","Aujourd’hui, préparez-vous à boire la tasse ! Si vous comptiez faire une petite promenade en mer, sachez qu’il y a de fortes chances pour que vous n’accostiez pas là où vous l’aviez prévu. L’occasion de visiter de nouvelles îles… ou d’y finir ses jours, seul(e) et affamé(e)."
2022-01-04,"Thomahon est le Méryde du Nord. Il donne à ceux qui visitent cette partie du monde la force nécessaire pour affronter les basses températures. Et pas la peine de vous encombrer avec une boussole, car il fait également en sorte que vous ne perdiez pas le nord !","Bonta est la cité du bien et de l’ordre. De tout temps, et sur toutes les cartes, elle a toujours été au nord du Monde des Douze ! On raconte d’ailleurs que ses habitants ne le perdent jamais… le nord ! Sauf si on leur vole leurs boussoles, évidemment...","Aujourd’hui, tous au Nord ! On dit que les gens qui y vivent ont dans leur cœur le soleil qu’ils n’ont pas dehors... Alors n’hésitez plus une seconde ! Enfilez gants et bonnets et allez donc faire un tour dans ces régions glacées ! Pour vous réchauffer, combattez quelques monstres et le tour sera joué !"
2022-01-05,"Ling est la Méryde du blizzard. Elle a beau être entièrement composée de glace, ça ne l’empêche pas d’attraper froid chaque hiver ! Ses crises d’éternuement projettent un nuage de neige (et d’autre chose...) au visage des gens ! Blizzard, pas frais ? Euh… bizarre, pas vrai ?","Alors que le blizzard fait rage près du détroit d’Escarpin, Tristepin lâche malencontreusement Grav’Mar’Av, la carte Shushutée de Yugo ! Heureusement, il la retrouve en moins de temps qu’il ne faut pour le dire ! Et ce n’est sûrement pas grâce à sa cervelle de Iop totalement… congelée !","Aujourd’hui, l’ambiance va être glaciale sur le Monde des Douze ! Attendez-vous à vous prendre des vents ! Un conseil : si vous ne voulez pas vous envoler, pensez à vous accrocher aux troncs des arbres ! Et priez pour ne pas vous faire assommer par une branche ou une Nodkoko..."
2022-01-06,"Sebklav est le Méryde de la majesté. Son amour du prestige l’amène à protéger les rois, les reines et tous ceux qui côtoient de près la souveraineté. Mais gare à ceux qui tenteraient d’abuser de leur pouvoir ! Car il n’hésitera pas une seconde à les priver de leur trône ainsi que de leur couronne !","Le Roi Sheran Sharm est le souverain du Royaume Sadida, à l’Ère du Wakfu. Aidé par l’honorable Chambellan Toufdru, il a la lourde charge de subvenir aux besoins de son peuple et de le protéger des attaques extérieures ! Il a aussi une lourde surcharge pondérale… mais c’est une autre histoire !","Aujourd’hui, vous allez avoir une subite envie de monter sur le trône ! Mais ne rêvez pas, car il y a de fortes chances pour que la seule couronne que vous enfiliez soit en papier ! D’ailleurs, prenez garde à ne pas vous casser une dent sur une fève, car vous risquez d’avoir l’air du roi/de la reine des Iops !"
2022-01-07,"Yvad est le Méryde de la boue. Avec un peu de terre et d’eau, il fabrique cette mixture dans laquelle les enfants aiment tant jouer ! Voir les Dragodindes s’y embourber ou les gens y glisser, il adore ça ! Mais ce qu’il préfère par-dessus tout, c’est quand de jolies aventurières se battent dans la gadoue...","Alors que les garçons de la Confrérie du Tofu se relaxent chez les Bellaphones, les filles, elles, se font poursuivre par un énorme Crocodaille ! Il faut dire qu’elles ont eu la bonne idée de le déranger alors qu’il prenait un bon bain de boue ! Pas étonnant qu’il veuille les découper… en tout petits bouts !","Aujourd’hui, vous allez vous faire traîner dans la boue ! Si vous comptez vous promener en forêt, il y a des chances pour que vos Boufbottes ne restent pas blanches très longtemps... Et, croyez-le, vous serez sûrement à bout avant de venir à bout de toute cette boue !"
2022-01-08,"Leszak est le Méryde du ménage. C’est lui qui vous pousse à faire la vaisselle quand vous ne distinguez plus le fond de votre évier ! Il inspire également à votre mère des phrases telles que « Range ta chambre ! », « Ramasse tes chaussettes ! » ou encore « Tire la chasse ! ».","On dit souvent des aventurières qu’elles ne savent pas ranger leurs Havre-Sacs... Il suffit de jeter un coup d’œil dans celui de Ruel Stroud pour se rendre compte qu’elles ne sont pas les seules ! Mais si le vieil Enutrof n’y fait jamais le ménage, c’est parce qu’il espère toujours y retrouver des trésors...","Tous à vos serpillères et vos balais ! Car aujourd’hui, vous allez vous transformer en vraie fée du logis ! Récurer le guano de Piou qui recouvre les toitures, ou passer l’éponge dans les moindres recoins des cabinets, avouez que ça fait rêver !"
2022-01-09,"Stun est le Méryde du perfectionnisme. Il nous pousse à atteindre la perfection, et ce quel que soit le domaine. C’est donc à cause de lui si les artistes mettent autant de temps à parfaire leur œuvre et si les Iops dépensent autant d’énergie à peaufiner leur bêtise...",Un Iop sait qu’il a atteint la perfection quand il a du mal à se comprendre lui-même.,"Aujourd’hui, vous allez être la perfection incarnée ! Votre apparence, les objets que vous fabriquerez, vos facultés au combat : vous aurez toutes les raisons de vous faire mousser ! Même ceux qui feront preuve d’imperfection le feront remarquablement bien ! Prêt ? Feu... Parfait !"
2022-01-10,"Trôma est le Méryde de la rapidité. Ce qui l’agace le plus : les gens qui prennent leur temps ! Il faut que ça bouge, sur le champ, là, maintenant ! C’est grâce à lui si certains sportifs courent comme des flèches de Crâ. Et de sa faute si les meilleurs moments sont aussi ceux qui passent le plus vite !","Plus rapide que la lumière, le Mmmmmmmmmporpg est un Boufbowler qui sait mettre le feu au stade de Brâkmar ! Mieux vaut ne pas le chercher, car il démarre au quart de tour ! Quand il arrive en ville, il arrive de nulle part et les gens changent de trottoir ! c'est la panique sur les boulevards !","Aujourd’hui, tout va aller très vite ! À peine levé vous aurez l’impression que le soleil sera déjà prêt à se coucher ! Les fleurs n’auront pas le temps d’éclore qu’elles seront déjà fanées ! Alors, si vous voulez profiter au maximum de cette journée, enfourchez votre Dragodinde la plus rapide !"
